Id,Backlinks,Netloc,Url1
1,1,www.temptalia.com,http://www.temptalia.com/
2,1,glow-t.com,https://glow-t.com/2012/06/26/glow-t-awards-xen-tan-absolute-gold/
3,1,www.breakfastwithaudrey.com.au,http://www.breakfastwithaudrey.com.au/
4,1,www.handmadereviews.net,http://www.handmadereviews.net/2012/06/sigma-beauty-expert-brow-design-kit.html
5,1,naturalgirl.beautyandlace.net,http://naturalgirl.beautyandlace.net/lush-gets-creepy-this-halloween
6,1,beauty.beautyandlace.net,http://beauty.beautyandlace.net/
7,1,ohmybonbon.com,http://ohmybonbon.com/
8,1,werealloutcasts.wordpress.com,https://werealloutcasts.wordpress.com/
9,1,www.ladiesbalance.com,http://www.ladiesbalance.com
10,1,wordpress.com,https://wordpress.com/about-these-ads/
11,1,blushandpearls.com,http://blushandpearls.com/
12,1,www.yasouskincare.com,http://www.yasouskincare.com/
13,1,bloggerbabes.com,http://bloggerbabes.com/
14,1,ifabbo.com,http://ifabbo.com/
15,1,one2try.net,http://one2try.net/
16,1,associationoffoodbloggers.org,http://associationoffoodbloggers.org/
17,1,bloggiveawaydirectory.com,http://bloggiveawaydirectory.com/
18,1,beautyandlace.net,http://beautyandlace.net/
19,1,directory.beautyandlace.net,http://directory.beautyandlace.net/
20,1,www.gourmetads.com,http://www.gourmetads.com/
21,1,living.beautyandlace.net,http://living.beautyandlace.net/
22,1,yoursay.beautyandlace.net,http://yoursay.beautyandlace.net/
23,1,hair.beautyandlace.net,http://hair.beautyandlace.net/
24,1,fashion.beautyandlace.net,http://fashion.beautyandlace.net/
25,1,christmas.beautyandlace.net,http://christmas.beautyandlace.net/
26,1,beautyblogcoalition.com,http://beautyblogcoalition.com/
27,1,bookgirl.beautyandlace.net,http://bookgirl.beautyandlace.net/
28,1,www.allthingsbeautifulxo.com,http://www.allthingsbeautifulxo.com/
29,1,rtcamp.com,https://rtcamp.com/
30,1,www.adiphenereviewsplus.com,http://www.adiphenereviewsplus.com/
31,1,en.support.wordpress.com,https://en.support.wordpress.com/
32,1,en.blog.wordpress.com,https://en.blog.wordpress.com/
33,1,allmyfriendsarejpegs.com,https://allmyfriendsarejpegs.com/category/reviews/
34,1,iamsteve.in,https://iamsteve.in/
35,1,overyonderlust.com,http://overyonderlust.com/
36,1,fourhourworkweek.com,http://fourhourworkweek.com/2016/10/01/matt-mullenweg-on-the-characteristics-and-practices-of-successful-entrepreneurs/
37,1,blog.danhauk.com,https://blog.danhauk.com/
38,1,bullypulpit.com,http://bullypulpit.com/matt-mullenweg-characteristics-and-practices-of-successful-entrepreneurs/
40,1,gradfoodstudies.org,https://gradfoodstudies.org/resources-book-reviews/
41,1,emilycontois.com,https://emilycontois.com/
42,1,zesterdaily.com,http://zesterdaily.com/author/emily-contois/
43,1,www.inter-disciplinary.net,http://www.inter-disciplinary.net/
44,1,www.food-culture.org,http://www.food-culture.org/
45,1,www.gastronomica.org,http://www.gastronomica.org/
46,1,sarahelaing.com,https://sarahelaing.com/reviews/
47,1,www.landfallreview.com,http://www.landfallreview.com/of-mochaccinos-vespas-and-architecture/
48,1,free66508.wordpress.com,https://free66508.wordpress.com/
49,1,www.theblabbingbaboon.com,http://www.theblabbingbaboon.com/
50,1,tomandemma.wordpress.com,https://tomandemma.wordpress.com/2012/11/27/your-very-own-personalised-comic-by-sarah-laing/
51,1,ronovanwrites.wordpress.com,https://ronovanwrites.wordpress.com/2015/04/16/new-zealand-comic-books/
52,1,kaustubh2323.wordpress.com,https://kaustubh2323.wordpress.com/
53,1,dawntuffery.com,https://dawntuffery.com/
54,1,thecraftywench.com.au,https://thecraftywench.com.au/
55,1,helenlehndorf.com,https://helenlehndorf.com/
56,1,nzsacanterbury.wordpress.com,https://nzsacanterbury.wordpress.com/free-october-writing-workshops/
57,1,discover.wordpress.com,https://discover.wordpress.com/2016/10/04/sarah-laing/
58,1,www.listener.co.nz,http://www.listener.co.nz/
59,1,unitybooks.nz,http://unitybooks.nz/tag/unity-wellington/
60,1,filmarchivesblog.wordpress.com,https://filmarchivesblog.wordpress.com/
61,1,cclblog.wordpress.com,https://cclblog.wordpress.com/
62,1,thisnzlife.co.nz,http://thisnzlife.co.nz
63,1,ponderingsofagirl.wordpress.com,https://ponderingsofagirl.wordpress.com/
64,1,caramelmooncake.wordpress.com,https://caramelmooncake.wordpress.com/
65,1,eitsallinmind.wordpress.com,https://eitsallinmind.wordpress.com/
66,1,nzpoetryshelf.com,https://nzpoetryshelf.com/2016/10/21/sarah-laing-celebrates-helen-lehndorfs-new-book-write-to-the-centre/
67,1,marydpierce.com,https://marydpierce.com/
68,1,cherilucasrowlands.com,https://cherilucasrowlands.com/
69,1,leonieandrews.wordpress.com,https://leonieandrews.wordpress.com/
70,1,arts.net.nz,http://arts.net.nz/
71,1,mandythebookworm.wordpress.com,https://mandythebookworm.wordpress.com/2013/02/11/its-been-a-while/
72,1,helenlowe.info,http://helenlowe.info/blog/2016/10/24/why-word-counts-are-imho-bollix/
73,1,blog.gravatar.com,https://blog.gravatar.com/
74,1,blogs.crikey.com.au,https://blogs.crikey.com.au/literaryminded/
75,1,books.scoop.co.nz,http://books.scoop.co.nz/
76,1,saybooksonline.com,http://saybooksonline.com/writing-undercover-on-the-web/
77,1,nakedsecurity.sophos.com,https://nakedsecurity.sophos.com/
78,1,nrinth.wordpress.com,https://nrinth.wordpress.com/
79,1,dailypost.wordpress.com,https://dailypost.wordpress.com/
80,1,jottingsandwritings.wordpress.com,https://jottingsandwritings.wordpress.com/
81,1,mondaytuesdaywednesday.wordpress.com,https://mondaytuesdaywednesday.wordpress.com/
82,1,animosbones.com,https://animosbones.com/
83,1,dermotthayes.com,https://dermotthayes.com/2016/10/17/trust/
84,1,blissobirds.com,https://blissobirds.com/
85,1,www.lifehack.org,http://www.lifehack.org/
86,1,rarasaur.com,https://rarasaur.com/
87,1,murphyslawblog.wordpress.com,https://murphyslawblog.wordpress.com/
88,1,earth911.com,http://earth911.com/
89,1,skrikvirniks.wordpress.com,https://skrikvirniks.wordpress.com/
90,1,autisticacademic.com,https://autisticacademic.com/
91,1,feministaspie.wordpress.com,https://feministaspie.wordpress.com/
92,1,moviemermaid.wordpress.com,https://moviemermaid.wordpress.com/
93,1,jlue.wordpress.com,https://jlue.wordpress.com/2011/05/23/hungarian-jews-killed-by-arrow-cross-along-the-danube-river/
94,1,graceholden.wordpress.com,https://graceholden.wordpress.com/2014/04/21/jesus-is-my-superhero/comment-page-1/
95,1,markb4.wordpress.com,https://markb4.wordpress.com/
96,1,thebrixtonhousewife.com,https://thebrixtonhousewife.com/
97,1,www.washingtonpost.com,http://www.washingtonpost.com/sf/investigative/collection/investigations/
98,1,hughsviewsandnews.com,https://hughsviewsandnews.com/
99,1,parade.com,http://parade.com/
103,1,www.kevinjames.com,http://www.kevinjames.com/
104,1,www.nytreprints.com,http://www.nytreprints.com/
